"column","na_count","na_percent"
"I.PPM",981047,99.92
"CR2O3.WT",979240,99.74
"CO2.PPM",979240,99.74
"SO4.WT",978306,99.65
"BR.PPM",978306,99.65
"AL2O3.WT",977572,99.57
"C.PPM",977572,99.57
"FEO.WT",976215,99.43
"NA.PPM",976215,99.43
"TE.PPM",975792,99.39
"CAO.WT",975399,99.35
"AL.PPM",975399,99.35
"FEOT.WT",974206,99.23
"MG.PPM",974206,99.23
"HG.PPM",973937,99.2
"CO2.WT",973923,99.2
"FE.PPM",973923,99.2
"NA2O.WT",971315,98.93
"CA.PPM",971315,98.93
"RH.PPM",971242,98.93
"FE2O3.WT",970191,98.82
"F.PPM",970191,98.82
"SO3.WT",967255,98.52
"SE.PPM",967255,98.52
"RU.PPM",966858,98.48
"IN.PPM",965639,98.36
"IR.PPM",964973,98.29
"OS.PPM",964070,98.2
"B2O3.WT",963069,98.09
"B.PPM",963069,98.09
"RE.PPM",962944,98.08
"PT.PPM",962038,97.99
"AU.PPM",960413,97.82
"PD.PPM",959630,97.74
"K2O.WT",959001,97.68
"K.PPM",959001,97.68
"NIO.WT",958983,97.68
"CL.PPM",958983,97.68
"MGO.WT",956394,97.41
"P.PPM",956394,97.41
"AG.PPM",955128,97.28
"CD.PPM",949884,96.75
"MNO.WT",949868,96.75
"S.PPM",949868,96.75
"BI.PPM",946305,96.39
"CH4.WT",945351,96.29
"GE.PPM",945351,96.29
"H2OT.WT",944188,96.17
"MN.PPM",944188,96.17
"SO2.WT",933367,95.07
"AS.PPM",933367,95.07
"SB.PPM",929692,94.69
"TL.PPM",926595,94.38
"H2O.WT",921520,93.86
"TI.PPM",921520,93.86
"W.PPM",911233,92.81
"SN.PPM",895898,91.25
"MO.PPM",894142,91.07
"TIO2.WT",890270,90.68
"BE.PPM",890270,90.68
"SIO2.WT",873257,88.95
"LI.PPM",873257,88.95
"CS.PPM",684055,69.67
"OH.WT",676680,68.92
"GA.PPM",676680,68.92
"TM.PPM",637551,64.94
"CL.WT",627156,63.88
"CU.PPM",627156,63.88
"PR.PPM",609597,62.09
"HO.PPM",609545,62.09
"CL2.WT",600533,61.17
"ZN.PPM",600533,61.17
"TA.PPM",594519,60.55
"CO1.WT",592137,60.31
"CO.PPM",592137,60.31
"ER.PPM",586312,59.72
"DY.PPM",580629,59.14
"P2O5.WT",579775,59.05
"SC.PPM",579775,59.05
"GD.PPM",577829,58.85
"PB.PPM",575914,58.66
"HF.PPM",570757,58.13
"TB.PPM",564865,57.53
"U.PPM",550559,56.08
"LU.PPM",546754,55.69
"EU.PPM",524156,53.39
"YB.PPM",521212,53.09
"SM.PPM",497965,50.72
"H2OP.WT",493577,50.27
"V.PPM",493577,50.27
"TH.PPM",480385,48.93
"ND.PPM",476727,48.56
"H2OM.WT",474176,48.3
"CR.PPM",474176,48.3
"LA.PPM",457238,46.57
"CE.PPM",454921,46.34
"F.WT",447111,45.54
"NI.PPM",447111,45.54
"OTHERS.WT",422234,43.01
"NB.PPM",422234,43.01
"VOLATILES.WT",398872,40.63
"Y.PPM",398872,40.63
"BA.PPM",390432,39.77
"O.WT",375369,38.23
"ZR.PPM",375369,38.23
"S.WT",354109,36.07
"RB.PPM",354109,36.07
"LOI.WT",334012,34.02
"SR.PPM",334012,34.02
"TECTONIC.SETTING",0,0
